City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-3.71,100,100,8.75,CA,1706557211
1,shimoda,34.6667,138.95,3.95,69,3,4.32,JP,1706557211
2,lehliu-gara,44.4333,26.85,2.01,80,23,4.77,RO,1706557212
3,mount gambier,-37.8333,140.7667,11.25,93,8,2.35,AU,1706557212
4,edinburgh of the seven seas,-37.0676,-12.3116,16.59,71,41,9.34,SH,1706557212
5,piti village,13.4626,144.6933,25.17,79,0,5.66,GU,1706557212
6,tevriz,57.509,72.4042,-14.77,98,100,0.61,RU,1706557212
7,kodiak,57.79,-152.4072,-13.27,66,0,5.14,US,1706557212
8,la'ie,21.6477,-157.9253,26.98,75,19,1.79,US,1706556955
9,puerto natales,-51.7236,-72.4875,18.25,52,40,7.72,CL,1706557213
10,boyolangu,-8.1181,111.8935,24.66,89,100,0.33,ID,1706557213
11,adamstown,-25.066,-130.1015,24.58,77,100,5.07,PN,1706557213
12,haiku-pauwela,20.9219,-156.3051,26.13,74,40,9.26,US,1706557213
13,dongola,19.1667,30.4833,16.43,27,8,5.18,SD,1706557213
14,hotan,37.0997,79.9269,-1.16,46,100,0.97,CN,1706557213
15,grytviken,-54.2811,-36.5092,8.69,61,89,4.12,GS,1706557213
16,uturoa,-16.7333,-151.4333,28.4,77,100,2.49,PF,1706557214
17,valdivia,-39.8142,-73.2459,26.05,28,21,2.69,CL,1706557214
18,isangel,-19.55,169.2667,25.01,72,95,3.4,VU,1706557214
19,okondja,-0.6549,13.6753,28.53,55,89,1.64,GA,1706557214
20,ushuaia,-54.8,-68.3,13.79,50,0,10.8,AR,1706556956
21,longyearbyen,78.2186,15.6401,-3.09,86,75,8.23,SJ,1706557214
22,karasburg,-28.0167,18.75,22.77,24,100,7.85,NA,1706556957
23,port-aux-francais,-49.35,70.2167,3.89,71,99,16.63,TF,1706557215
24,waitangi,-43.9535,-176.5597,17.12,98,49,1.34,NZ,1706557215
25,revda,56.801,59.9303,-12.58,95,92,2.36,RU,1706557215
26,paranaiba,-19.6772,-51.1908,36.39,17,20,2.4,BR,1706557215
27,albany,42.6001,-73.9662,1.56,80,100,2.52,US,1706556957
28,isafjordur,66.0755,-23.124,-0.53,58,63,12.85,IS,1706557216
29,badger,64.8,-147.5333,-24.37,71,100,0.0,US,1706557216
30,arraial do cabo,-22.9661,-42.0278,27.98,78,40,3.6,BR,1706557166
31,kailua-kona,19.6406,-155.9956,26.39,81,40,7.2,US,1706557216
32,olonkinbyen,70.9221,-8.7187,-5.74,55,100,3.69,SJ,1706557217
33,maceio,-9.6658,-35.7353,30.69,66,40,7.2,BR,1706556959
34,beira,-19.8436,34.8389,26.05,83,0,3.6,MZ,1706557217
35,monterey,36.2505,-121.2516,22.32,45,21,2.04,US,1706557091
36,segezha,63.7415,34.3222,1.1,82,75,7.93,RU,1706557217
37,puerto armuelles,8.2833,-82.8667,34.99,64,100,1.34,PA,1706557062
38,yuzhno-kurilsk,44.0306,145.8556,-2.57,83,79,1.56,RU,1706557218
39,qaqortoq,60.7167,-46.0333,-23.82,77,11,2.75,GL,1706557218
40,santa cruz,-17.8,-63.1667,30.7,58,75,6.69,BO,1706557113
41,blackmans bay,-43.0167,147.3167,9.74,83,1,0.89,AU,1706557219
42,bethel,41.3712,-73.414,2.9,74,100,5.14,US,1706557219
43,summit park,40.7458,-111.6116,7.76,64,47,1.34,US,1706557219
44,dudinka,69.4058,86.1778,-15.18,83,100,8.05,RU,1706557219
45,chonchi,-42.6128,-73.8092,20.56,43,98,0.98,CL,1706557220
46,new norfolk,-42.7826,147.0587,10.4,92,7,1.38,AU,1706557220
47,kruisfontein,-34.0033,24.7314,21.05,86,99,5.12,ZA,1706556962
48,san antonio de pale,-1.4014,5.6325,27.58,81,87,3.23,GQ,1706557220
49,lihue,21.9789,-159.3672,23.77,85,40,7.2,US,1706556962
50,margaret river,-33.95,115.0667,11.59,89,4,4.49,AU,1706557008
51,arno,60.1167,18.6333,2.66,98,100,1.69,SE,1706557221
52,college,64.8569,-147.8028,-24.33,64,100,0.0,US,1706557221
53,burang,30.25,81.1667,-9.17,80,44,1.57,CN,1706556963
54,santana,-0.0583,-51.1817,31.1,70,75,5.14,BR,1706557221
55,hamilton,39.1834,-84.5333,3.11,81,100,3.09,US,1706556786
56,kisangani,0.5167,25.2,27.04,42,100,0.86,CD,1706556964
57,novodvinsk,64.4165,40.8122,1.86,92,100,5.93,RU,1706557222
58,fada,9.5667,8.3,23.48,20,34,2.7,NG,1706557222
59,georgetown,5.4112,100.3354,27.75,88,20,4.12,MY,1706557222
60,port mathurin,-19.6833,63.4167,27.6,82,99,9.81,MU,1706557222
61,ust-nera,64.5667,143.2,-36.76,97,99,1.95,RU,1706557223
62,iqaluit,63.7506,-68.5145,-30.73,67,100,0.0,CA,1706557223
63,margate,51.3813,1.3862,11.04,84,100,4.02,GB,1706557223
64,cam ranh,11.9214,109.1591,24.98,69,40,4.63,VN,1706556966
65,vorgashor,67.5833,63.95,-16.76,93,65,4.46,RU,1706557223
66,utrik,11.2278,169.8474,26.03,69,100,5.36,MH,1706557224
67,remire-montjoly,4.9167,-52.2667,25.02,94,75,5.66,GF,1706556966
68,stanley,54.868,-1.6985,5.77,95,75,6.69,GB,1706557224
69,touros,-5.1989,-35.4608,28.41,71,13,6.31,BR,1706556967
70,la foa,-21.7108,165.8276,25.36,73,25,1.15,NC,1706557224
71,cururupu,-1.8283,-44.8683,28.17,74,100,2.3,BR,1706556967
72,fort bragg,35.139,-79.006,15.08,41,0,5.66,US,1706557022
73,hasaki,35.7333,140.8333,4.05,51,51,2.02,JP,1706557225
74,aasiaat,68.7098,-52.8699,-27.37,97,100,1.17,GL,1706556968
75,whitehorse,60.7161,-135.0538,4.43,81,75,10.8,CA,1706557225
76,ilulissat,69.2167,-51.1,-21.99,71,75,2.06,GL,1706557226
77,timbuktu,16.7735,-3.0074,23.35,12,0,4.67,ML,1706556968
78,kendari,-3.945,122.4989,24.43,93,66,1.25,ID,1706557226
79,ayr,55.4627,-4.6339,5.17,81,75,2.06,GB,1706556969
80,udachny,66.4167,112.4,-21.42,76,100,0.95,RU,1706557226
81,pisco,-13.7,-76.2167,31.03,51,0,5.66,PE,1706557226
82,bubaque,11.2833,-15.8333,26.35,63,59,5.36,GW,1706557227
83,kumcati,37.4657,42.2836,3.78,87,99,1.64,TR,1706556969
84,vigan,17.5747,120.3869,20.46,72,96,3.1,PH,1706557227
85,tiksi,71.6872,128.8694,-26.58,98,88,3.33,RU,1706556970
86,tralee,52.2704,-9.7026,3.86,77,7,2.66,IE,1706557227
87,hermanus,-34.4187,19.2345,22.11,74,97,8.73,ZA,1706557228
88,cuamba,-14.8031,36.5372,21.18,81,23,1.97,MZ,1706557228
89,thinadhoo,0.5333,72.9333,28.02,76,17,5.38,MV,1706557228
90,tavrichanka,43.3378,131.8639,-19.08,85,8,2.45,RU,1706557229
91,molochnoye,59.2917,39.6787,0.18,92,100,6.71,RU,1706557229
92,talnakh,69.4865,88.3972,-16.55,91,100,3.94,RU,1706557229
93,karystos,38.0133,24.4161,9.12,61,100,9.02,GR,1706556971
94,saint-joseph,-21.3667,55.6167,24.21,87,33,4.04,RE,1706556971
95,essaouira,31.5125,-9.77,20.72,34,5,0.51,MA,1706557230
96,siocon,7.7061,122.1353,25.02,85,100,3.84,PH,1706557230
97,bhadrakh,21.0528,86.52,17.38,69,70,1.23,IN,1706557230
98,alofi,-19.0595,-169.9187,27.94,83,100,2.57,NU,1706557231
99,naze,28.3667,129.4833,8.51,65,46,2.53,JP,1706556972
100,sitka,57.0531,-135.33,9.94,71,100,18.52,US,1706557231
